"Key","Title","Description","Status"
"2017MM04","2017 april","","Definitief"
"2017MM05","2017 mei","","Definitief"
"2017MM06","2017 juni","","Definitief"
"2017MM07","2017 juli","","Definitief"
"2017MM08","2017 augustus","","Definitief"
"2017MM09","2017 september","","Definitief"
"2017MM10","2017 oktober","","Definitief"
"2017MM11","2017 november","","Definitief"
"2017MM12","2017 december","","Definitief"
"2017JJ00","2017","","Definitief"
"2018MM01","2018 januari","","Definitief"
"2018MM02","2018 februari","","Definitief"
"2018MM03","2018 maart","","Definitief"
"2018MM04","2018 april","","Definitief"
"2018MM05","2018 mei","","Definitief"
"2018MM06","2018 juni","","Definitief"
"2018MM07","2018 juli","","Definitief"
"2018MM08","2018 augustus","","Definitief"
"2018MM09","2018 september","","Definitief"
"2018MM10","2018 oktober","","Definitief"
"2018MM11","2018 november","","Definitief"
"2018MM12","2018 december","","Definitief"
"2018JJ00","2018","","Definitief"
"2019MM01","2019 januari","","Definitief"
"2019MM02","2019 februari","","Definitief"
"2019MM03","2019 maart","","Definitief"
"2019MM04","2019 april","","Definitief"
"2019MM05","2019 mei","","Definitief"
"2019MM06","2019 juni","","Definitief"
"2019MM07","2019 juli","","Definitief"
"2019MM08","2019 augustus","","Definitief"
"2019MM09","2019 september","","Definitief"
"2019MM10","2019 oktober","","Definitief"
"2019MM11","2019 november","","Definitief"
"2019MM12","2019 december","","Definitief"
"2019JJ00","2019","","Definitief"
"2020MM01","2020 januari","","Definitief"
"2020MM02","2020 februari","","Definitief"
"2020MM03","2020 maart","* Voorlopig cijfer","Voorlopig"
"2020MM04","* 2020 april","* Voorlopige cijfers. De coronacrisis heeft gevolgen voor de totstandkoming en publicatie van de cijfers voor deze periode. Zie de tabeltoelichting voor aanvullende informatie.","Voorlopig"
