"Key","Title","Description","Status"
"1972MM11","1972 november","","Definitief"
"1972MM12","1972 december","","Definitief"
"1972JJ00","1972","","Definitief"
"1973MM01","1973 januari","","Definitief"
"1973MM02","1973 februari","","Definitief"
"1973MM03","1973 maart","","Definitief"
"1973MM04","1973 april","","Definitief"
"1973MM05","1973 mei","","Definitief"
"1973MM06","1973 juni","","Definitief"
"1973MM07","1973 juli","","Definitief"
"1973MM08","1973 augustus","","Definitief"
"1973MM09","1973 september","","Definitief"
"1973MM10","1973 oktober","","Definitief"
"1973MM11","1973 november","","Definitief"
"1973MM12","1973 december","","Definitief"
"1973JJ00","1973","","Definitief"
"1974MM01","1974 januari","","Definitief"
"1974MM02","1974 februari","","Definitief"
"1974MM03","1974 maart","","Definitief"
"1974MM04","1974 april","","Definitief"
"1974MM05","1974 mei","","Definitief"
"1974MM06","1974 juni","","Definitief"
"1974MM07","1974 juli","","Definitief"
"1974MM08","1974 augustus","","Definitief"
"1974MM09","1974 september","","Definitief"
"1974MM10","1974 oktober","","Definitief"
"1974MM11","1974 november","","Definitief"
"1974MM12","1974 december","","Definitief"
"1974JJ00","1974","","Definitief"
"1975MM01","1975 januari","","Definitief"
"1975MM02","1975 februari","","Definitief"
"1975MM03","1975 maart","","Definitief"
"1975MM04","1975 april","","Definitief"
"1975MM05","1975 mei","","Definitief"
"1975MM06","1975 juni","","Definitief"
"1975MM07","1975 juli","","Definitief"
"1975MM08","1975 augustus","","Definitief"
"1975MM09","1975 september","","Definitief"
"1975MM10","1975 oktober","","Definitief"
"1975MM11","1975 november","","Definitief"
"1975MM12","1975 december","","Definitief"
"1975JJ00","1975","","Definitief"
"1976MM01","1976 januari","","Definitief"
"1976MM02","1976 februari","","Definitief"
"1976MM03","1976 maart","","Definitief"
"1976MM04","1976 april","","Definitief"
"1976MM05","1976 mei","","Definitief"
"1976MM06","1976 juni","","Definitief"
"1976MM07","1976 juli","","Definitief"
"1976MM08","1976 augustus","","Definitief"
"1976MM09","1976 september","","Definitief"
"1976MM10","1976 oktober","","Definitief"
"1976MM11","1976 november","","Definitief"
"1976MM12","1976 december","","Definitief"
"1976JJ00","1976","","Definitief"
"1977MM01","1977 januari","","Definitief"
"1977MM02","1977 februari","","Definitief"
"1977MM03","1977 maart","","Definitief"
"1977MM04","1977 april","","Definitief"
"1977MM05","1977 mei","","Definitief"
"1977MM06","1977 juni","","Definitief"
"1977MM07","1977 juli","","Definitief"
"1977MM08","1977 augustus","","Definitief"
"1977MM09","1977 september","","Definitief"
